accountId,createdAt,date,answer
a227cede-130d-4e74-8189-ba59514d2622,1632228100,2021-09-21,1
a227cede-130d-4e74-8189-ba59514d2622,1632228101,2021-09-21,1
a227cede-130d-4e74-8189-ba59514d2622,1632228102,2021-09-21,1
a227cede-130d-4e74-8189-ba59514d2622,1632228103,2021-09-21,1
a227cede-130d-4e74-8189-ba59514d2622,1632228104,2021-09-21,1
a227cede-130d-4e74-8189-ba59514d2622,1632228200,2021-09-21,2
a227cede-130d-4e74-8189-ba59514d2622,1632228201,2021-09-21,2
a227cede-130d-4e74-8189-ba59514d2622,1632228202,2021-09-21,2
a227cede-130d-4e74-8189-ba59514d2622,1632228203,2021-09-21,2
a227cede-130d-4e74-8189-ba59514d2622,1632228204,2021-09-21,2
a227cede-130d-4e74-8189-ba59514d2622,1632228300,2021-09-21,3
a227cede-130d-4e74-8189-ba59514d2622,1632228301,2021-09-21,3
a227cede-130d-4e74-8189-ba59514d2622,1632239100,2021-09-22,1
a227cede-130d-4e74-8189-ba59514d2622,1632239101,2021-09-22,1
a227cede-130d-4e74-8189-ba59514d2622,1632239102,2021-09-22,1
a227cede-130d-4e74-8189-ba59514d2622,1632449100,2021-09-24,1
a227cede-130d-4e74-8189-ba59514d2622,1632449101,2021-09-24,1
a227cede-130d-4e74-8189-ba59514d2622,1632449200,2021-09-24,2
a227cede-130d-4e74-8189-ba59514d2622,1632449300,2021-09-24,3
a227cede-130d-4e74-8189-ba59514d2622,1632749100,2021-09-27,1
a227cede-130d-4e74-8189-ba59514d2622,1632749101,2021-09-27,1
a227cede-130d-4e74-8189-ba59514d2622,1632749102,2021-09-27,1
a227cede-130d-4e74-8189-ba59514d2622,1632749300,2021-09-27,3
a227cede-130d-4e74-8189-ba59514d2622,1632749301,2021-09-27,3
a227cede-130d-4e74-8189-ba59514d2622,1632749302,2021-09-27,3
